algorithm,layer,utility,mean_violation,cvar,power_violation
risk_neutral_pgd,4,47.46940231323242,12552.8759765625,128499.546875,0.0
risk_neutral_pgd,5,46.721588134765625,12907.9365234375,131415.65625,0.0
risk_neutral_pgd,6,49.83832931518555,14178.2080078125,146821.625,0.0
risk_neutral_pgd,7,48.722164154052734,13338.1689453125,136278.484375,0.0
risk_neutral_pgd,8,49.46612548828125,14524.2392578125,148784.015625,0.0
risk_neutral_pgd,9,50.762603759765625,25808.669921875,286687.6875,0.0
risk_neutral_pgd,10,48.925601959228516,23007.349609375,249453.0,0.0
wideband_pgd,1,-349193.90625,3983.799560546875,36182.3515625,2.838316426334586e-08
wideband_pgd,2,-16049172.0,240669.5625,1554894.625,0.0
wideband_pgd,3,-11175646.0,159349.5625,1098178.5,0.0
wideband_pgd,4,-12759248.0,181738.734375,1254148.75,0.0
wideband_pgd,5,-12416923.0,176774.421875,1220666.0,0.0
wideband_pgd,6,-12546498.0,178575.046875,1233486.625,0.0
wideband_pgd,7,-12544600.0,178488.828125,1233411.0,0.0
wideband_pgd,8,-12565877.0,178749.328125,1235582.0,0.0
wideband_pgd,9,-12574514.0,178842.078125,1236487.875,0.0
wideband_pgd,10,-12581635.0,178924.3125,1237223.875,0.0
scenario_adaptive_unfolded,1,-50612.12109375,3983.799560546875,36182.3515625,2.838316426334586e-08
scenario_adaptive_unfolded,2,-103567.34375,791.7886352539062,6912.07568359375,0.0
scenario_adaptive_unfolded,3,-2062.22900390625,791.78369140625,6912.02685546875,0.0
scenario_adaptive_unfolded,4,-58245.62890625,732.248779296875,6450.09716796875,0.0
scenario_adaptive_unfolded,5,-38282.3984375,343.7947998046875,3867.65478515625,0.0
scenario_adaptive_unfolded,6,-1993.8848876953125,154.11244201660156,1064.441650390625,0.0
scenario_adaptive_unfolded,7,-1719.075927734375,25.664350509643555,243.124755859375,0.0
scenario_adaptive_unfolded,8,-410.8473205566406,5.978288173675537,57.71636962890625,0.0
risk_neutral_pgd,1,23.757596969604492,253612.0,2780917.0,3.689811478579941e-08
risk_neutral_pgd,2,47.57857131958008,224206.453125,2417702.0,0.0
risk_neutral_pgd,3,48.815677642822266,234665.171875,2479476.5,0.0
risk_neutral_pgd,4,50.58546829223633,187590.953125,1955597.25,0.0
risk_neutral_pgd,5,51.51512145996094,220436.6875,2184372.25,0.0
risk_neutral_pgd,6,53.41436767578125,195894.25,1960183.75,0.0
risk_neutral_pgd,7,50.46775436401367,197714.515625,2101589.0,0.0
risk_neutral_pgd,8,49.13873291015625,205737.109375,2203527.0,0.0
risk_neutral_pgd,9,51.99503707885742,223649.796875,2174449.5,0.0
risk_neutral_pgd,10,50.76971435546875,183276.3125,1755786.375,0.0
wideband_pgd,1,-8783214.0,96259.1328125,917418.75,2.554484801464696e-08
wideband_pgd,2,-1060749824.0,11248897.0,111502048.0,0.0
wideband_pgd,3,-868086912.0,8072498.0,93374928.0,0.0
wideband_pgd,4,-915262464.0,8495574.0,98478608.0,0.0
